UniqueCount	AmbigCount
0	20
0	1
0	1792
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
13	39
0	3
1	0
0	1
0	0
0	22
0	1
6	1323
3	19
0	27
244	19
0	13
18	119
1	3
7	2
0	4
0	0
0	0
0	2
45	2284
2	199
0	194
0	173
0	163
0	152
22	14
0	0
0	83
0	1
0	0
0	2
0	0
0	1
1	1
0	3
1	7
7	35
0	5
0	1
20	15
0	490
0	387
0	392
1	195
0	211
0	177
0	41
0	198
0	198
3	15
0	36
3	40
3	12
2	25
0	106
8	19
0	0
0	0
0	2
195	1447
0	1
0	1
0	7
0	4
0	4
5	2
0	4
0	3
1	48
0	3
0	0
0	0
0	28
0	6
0	2
0	1
0	0
7	13849
17019	67389
54	193678
0	0
11	7892
1	5
13380	59881
5	6952
0	0
0	3
1098	3106
0	40
0	4
0	4
0	0
0	0
0	7
0	4
0	4
0	4
0	3
0	15
1	3
0	3
0	3
0	39
0	3
0	3
0	4
0	4
0	15
0	5
8	0
0	14
2	14
0	17
0	1
1	1
0	1
0	1
0	2
1	1
0	1
0	1
0	0
7	83
0	5
2	5
0	0
14	4
0	4
14	6
1	8
1	616
0	643
214	1144
28	204
1	1300
45	72
0	944
0	1182
24	55
0	1179
0	946
1	708
1	570
0	208
1	556
0	57
0	20
0	706
0	703
0	648
0	74
0	48
0	71
2	397
2	708
0	881
0	972
0	603
0	52
0	687
0	637
0	51
0	23
0	130
0	50
0	486
7	25
26	8
0	0
1	0
1	49
0	7
0	48
0	1
0	0
0	0
0	0
0	0
4	3
0	2
0	1
0	4
0	4
0	1
0	4
0	3
0	4
0	4
0	3
0	2
0	3
0	1
0	0
0	1
0	1
0	0
271	3311
6	1808
56	3223
0	0
4	625
13	35
305	143
102	44
40	101
38	12
92	175
1	160
15	177
1	14
0	50
0	0
0	0
0	0
0	0
1	0
0	11
0	9
3	9
0	5
0	160
0	95
61	160
0	0
0	0
1	7576
0	7040
0	6776
0	7312
0	100
11	267
21	217
2	20
13	120
199	2733
0	142
16	1493
0	1765
2	1281
66	1611
8	1759
47	1329
0	1335
38	29
43	963
9	887
16	0
0	0
0	450
0	401
1	447
0	441
97	394
0	427
7	460
0	115
2	332
1	127
0	79
0	80
0	30
2	18
0	12
0	20
0	11
2	15
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
1	2
0	1
0	0
0	2
0	2
0	1
14	5596
14	6546
1	5128
0	5596
200	3349
19	2654
4	1984
1	1264
1544	40
1	0
1	0
1	0
2	2
2	2
3	0
0	2116
10	2325
0	2120
1	1442
3	1520
1	1364
2	1305
9	327
0	1196
0	992
1	328
0	386
0	515
0	333
3	319
0	40
0	66
0	127
5	209
22	12
0	1
3	1
0	40
